Sighting,Common Name,Scientific Name,Location,Date
272,Rufous-gaped Hillstar,Urochroa bougueri,El Descanso de Doña Dora,4-Jan-19
271,Violet-tailed Sylph,Aglaiocercus coelestis,El Descanso de Doña Dora,4-Jan-19
270,Green Thorntail,Discosura conversii,El Descanso de Doña Dora,4-Jan-19
269,White-whiskered Hermit,Phaethornis yaruqui,El Descanso de Doña Dora,4-Jan-19
268,Lyre-tailed Nightjar,Uropsalis lyra,El Descanso de Doña Dora,4-Jan-19
267,Cocoa Thrush,Turdus fumigatus,PNN Farallones de Cali--El Topacio,3-Jan-19
266,Gray-cowled Wood-Rail,Aramides cajaneus,PNN Farallones de Cali--El Topacio,3-Jan-19
265,Long-billed Starthroat,Heliomaster longirostris,PNN Farallones de Cali--El Topacio,3-Jan-19
264,Green Hermit,Phaethornis guy,PNN Farallones de Cali--El Topacio,3-Jan-19
263,Canada Warbler,Cardellina canadensis,"National Park Natural Farallones De Cali, Santiago De Cali CO-Valle Del Cauca (3.4533,-76.6619)",2-Jan-19
262,Andean Cock-of-the-rock,Rupicola peruvianus,"National Park Natural Farallones De Cali, Santiago De Cali CO-Valle Del Cauca (3.4533,-76.6619)",2-Jan-19
261,Fork-tailed Flycatcher,Tyrannus savana,Embalse Calima,31-Dec-18
260,Bare-faced Ibis,Phimosus infuscatus,Embalse Calima,31-Dec-18
259,Striated Heron,Butorides striata,Embalse Calima,31-Dec-18
258,Eared Dove,Zenaida auriculata,Embalse Calima,31-Dec-18
257,Pied-billed Grebe,Podilymbus podiceps,Embalse Calima,31-Dec-18
256,Black-winged Saltator,Saltator atripennis,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
255,Green Honeycreeper,Chlorophanes spiza,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
254,Golden Tanager,Tangara arthus,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
253,Saffron-crowned Tanager,Tangara xanthocephala,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
252,Scrub Tanager,Stilpnia vitriolina,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
251,Golden-naped Tanager,Chalcothraupis ruficervix,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
250,Multicolored Tanager,Chlorochrysa nitidissima,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
249,Blue-winged Mountain Tanager,Anisognathus somptuosus,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
248,Hepatic Tanager,Piranga flava,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
247,Three-striped Warbler,Basileuterus tristriatus,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
246,Crimson-rumped Toucanet,Aulacorhynchus haematopygus,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
245,Red-headed Barbet,Eubucco bourcierii,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
244,Crested Quetzal,Pharomachrus antisianus,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
243,Andean Emerald,Uranomitra franciae,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
242,Purple-throated Woodstar,Philodice mitchellii,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
241,White-booted Racket-tail,Ocreatus underwoodii,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
240,Brown Violetear,Colibri delphinae,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
239,Tawny-bellied Hermit,Phaethornis syrmatophorus,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
238,Colombian Chachalaca,Ortalis columbiana,"Finca Alejandría ""El Paraiso de Los Colibries""",29-Dec-18
237,Trinidad Euphonia,Euphonia trinitatis,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
236,Gray Kingbird,Tyrannus dominicensis,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
235,Brown-crested Flycatcher,Myiarchus tyrannulus,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
234,Northern Scrub-Flycatcher,Sublegatus arenarum,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
233,Slender-billed Tyrannulet,Inezia tenuirostris,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
232,Fulvous-crowned Scrub-Tyrant,Euscarthmus meloryphus,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
231,Pearly-vented Tody-Tyrant,Hemitriccus margaritaceiventer,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
230,White-fringed Antwren,Formicivora grisea,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
229,Black-backed Antshrike,Thamnophilus melanonotus,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
228,Chestnut Piculet,Picumnus cinnamomeus,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
227,Scarlet Ibis,Eudocimus ruber,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
226,Reddish Egret,Egretta rufescens,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
225,Least Tern,Sternula antillarum,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
224,Laughing Gull,Leucophaeus atricilla,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
223,Semipalmated Sandpiper,Calidris pusilla,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
222,Least Sandpiper,Calidris minutilla,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
221,Marbled Godwit,Limosa fedoa,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
220,Semipalmated Plover,Charadrius semipalmatus,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
219,Shining-green Hummingbird,Chrysuronia goudoti,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
218,Scaled Dove,Columbina squammata,"CO-La Guajira-Riohacha (11.4208,-73.0547)",19-Dec-18
217,Orinocan Saltator,Saltator orenocensis,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
216,Bananaquit,Coereba flaveola,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
215,Vermilion Cardinal,Cardinalis phoeniceus,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
214,Yellow-tailed Oriole,Icterus mesomelas,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
213,Tropical Mockingbird,Mimus gilvus,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
212,Tropical Gnatcatcher,Polioptila plumbea,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
211,White-whiskered Spinetail,Synallaxis candei,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
210,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
209,Russet-throated Puffbird,Hypnelus ruficollis,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
208,Wattled Jacana,Jacana jacana,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
207,Sapphire-throated Hummingbird,Chrysuronia coeruleogularis,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
206,Buffy Hummingbird,Leucippus fallax,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
205,Rufous-vented Chachalaca,Ortalis ruficauda,"CO-La Guajira-Riohacha (11.4284,-73.0834)",19-Dec-18
204,Bicolored Wren,Campylorhynchus griseus,Hotel Minca,15-Dec-18
203,Rufous-tailed Hummingbird,Amazilia tzacatl,Hotel Minca,15-Dec-18
202,Black-throated Mango,Anthracothorax nigricollis,Hotel Minca,15-Dec-18
201,White-necked Jacobin,Florisuga mellivora,Hotel Minca,15-Dec-18
200,Streaked Saltator,Saltator striatipectus,Cuchilla San Lorenzo,14-Dec-18
199,Buff-throated Saltator,Saltator maximus,Cuchilla San Lorenzo,14-Dec-18
198,Rusty Flowerpiercer,Diglossa sittoides,Cuchilla San Lorenzo,14-Dec-18
197,Swallow Tanager,Tersina viridis,Cuchilla San Lorenzo,14-Dec-18
196,Bay-headed Tanager,Tangara gyrola,Cuchilla San Lorenzo,14-Dec-18
195,Black-headed Tanager,Stilpnia cyanoptera,Cuchilla San Lorenzo,14-Dec-18
194,Crimson-backed Tanager,Ramphocelus dimidiatus,Cuchilla San Lorenzo,14-Dec-18
193,White-lined Tanager,Tachyphonus rufus,Cuchilla San Lorenzo,14-Dec-18
192,Gray-headed Tanager,Eucometis penicillata,Cuchilla San Lorenzo,14-Dec-18
191,Blue Seedeater,Amaurospiza concolor,Cuchilla San Lorenzo,14-Dec-18
190,Rose-breasted Grosbeak,Pheucticus ludovicianus,Cuchilla San Lorenzo,14-Dec-18
189,Summer Tanager,Piranga rubra,Cuchilla San Lorenzo,14-Dec-18
188,White-lored Warbler,Myiothlypis conspicillata,Cuchilla San Lorenzo,14-Dec-18
187,Santa Marta Warbler,Myiothlypis basilica,Cuchilla San Lorenzo,14-Dec-18
186,Black-and-white Warbler,Mniotilta varia,Cuchilla San Lorenzo,14-Dec-18
185,Yellow-backed Oriole,Icterus chrysater,Cuchilla San Lorenzo,14-Dec-18
184,Golden-winged Sparrow,Arremon schlegeli,Cuchilla San Lorenzo,14-Dec-18
183,Clay-colored Thrush,Turdus grayi,Cuchilla San Lorenzo,14-Dec-18
182,Yellow-legged Thrush,Turdus flavipes,Cuchilla San Lorenzo,14-Dec-18
181,Slaty-backed Nightingale-Thrush,Catharus fuscater,Cuchilla San Lorenzo,14-Dec-18
180,White-breasted Wood-Wren,Henicorhina leucosticta,Cuchilla San Lorenzo,14-Dec-18
179,Rufous-and-white Wren,Thryophilus rufalbus,Cuchilla San Lorenzo,14-Dec-18
178,Streaked Flycatcher,Myiodynastes maculatus,Cuchilla San Lorenzo,14-Dec-18
177,Social Flycatcher,Myiozetetes similis,Cuchilla San Lorenzo,14-Dec-18
176,Boat-billed Flycatcher,Megarynchus pitangua,Cuchilla San Lorenzo,14-Dec-18
175,Black-throated Tody-Tyrant,Hemitriccus granadensis,Cuchilla San Lorenzo,14-Dec-18
174,Black-crowned Tityra,Tityra inquisitor,Cuchilla San Lorenzo,14-Dec-18
173,Flammulated Treehunter,Thripadectes flammulatus,Cuchilla San Lorenzo,14-Dec-18
172,Montane Foliage-gleaner,Anabacerthia striaticollis,Cuchilla San Lorenzo,14-Dec-18
171,Santa Marta Tapaculo,Scytalopus sanctaemartae,Cuchilla San Lorenzo,14-Dec-18
170,Santa Marta Parakeet,Pyrrhura viridicata,Cuchilla San Lorenzo,14-Dec-18
169,Blue-headed Parrot,Pionus menstruus,Cuchilla San Lorenzo,14-Dec-18
168,Laughing Falcon,Herpetotheres cachinnans,Cuchilla San Lorenzo,14-Dec-18
167,Golden-olive Woodpecker,Colaptes rubiginosus,Cuchilla San Lorenzo,14-Dec-18
166,Lineated Woodpecker,Dryocopus lineatus,Cuchilla San Lorenzo,14-Dec-18
165,Crimson-crested Woodpecker,Campephilus melanoleucos,Cuchilla San Lorenzo,14-Dec-18
164,Keel-billed Toucan,Ramphastos sulfuratus,Cuchilla San Lorenzo,14-Dec-18
163,Moustached Puffbird,Malacoptila mystacalis,Cuchilla San Lorenzo,14-Dec-18
162,Whooping Motmot,Momotus subrufescens,Cuchilla San Lorenzo,14-Dec-18
161,Masked Trogon,Trogon personatus,Cuchilla San Lorenzo,14-Dec-18
160,Santa Marta Blossomcrown,Anthocephala floriceps,Cuchilla San Lorenzo,14-Dec-18
159,Red-billed Emerald,Chlorostilbon gibsoni,Cuchilla San Lorenzo,14-Dec-18
158,Santa Marta Woodstar,Chaetocercus astreans,Cuchilla San Lorenzo,14-Dec-18
157,Squirrel Cuckoo,Piaya cayana,Cuchilla San Lorenzo,14-Dec-18
156,Olive-gray Saltator,Saltator olivascens,"(11.1422,-74.1166)",13-Dec-18
155,Chestnut-capped Warbler,Basileuterus delattrii,"(11.1422,-74.1166)",13-Dec-18
154,American Redstart,Setophaga ruticilla,"(11.1422,-74.1166)",13-Dec-18
153,Tennessee Warbler,Leiothlypis peregrina,"(11.1422,-74.1166)",13-Dec-18
152,Pale-breasted Thrush,Turdus leucomelas,"(11.1422,-74.1166)",13-Dec-18
151,Great Kiskadee,Pitangus sulphuratus,"(11.1422,-74.1166)",13-Dec-18
150,Black Phoebe,Sayornis nigricans,"(11.1422,-74.1166)",13-Dec-18
149,Rufous-tailed Jacamar,Galbula ruficauda,"(11.1422,-74.1166)",13-Dec-18
148,Steely-vented Hummingbird,Saucerottia saucerottei,"(11.1422,-74.1166)",13-Dec-18
147,Common Pauraque,Nyctidromus albicollis,"(11.1422,-74.1166)",13-Dec-18
146,Red-crowned Woodpecker,Melanerpes rubricapillus,"CO-Magdalena-Santa Marta (Dist. ESP. ) (11.1424,-74.1158) CASA COLIBRI",13-Dec-18
145,White-vented Plumeleteer,Chalybura buffonii,"CO-Magdalena-Santa Marta (Dist. ESP. ) (11.1424,-74.1158) CASA COLIBRI",13-Dec-18
144,Black Flowerpiercer,Diglossa humeralis,El Dorado ProAves Reserve,12-Dec-18
143,Black-capped Tanager,Stilpnia heinei,El Dorado ProAves Reserve,12-Dec-18
142,Gray-breasted Wood-Wren,Henicorhina leucophrys,El Dorado ProAves Reserve,12-Dec-18
141,Bright-rumped Attila,Attila spadiceus,El Dorado ProAves Reserve,12-Dec-18
140,Golden-breasted Fruiteater,Pipreola aureopectus,El Dorado ProAves Reserve,12-Dec-18
139,White-tipped Quetzal,Pharomachrus fulgidus,El Dorado ProAves Reserve,12-Dec-18
138,Crowned Woodnymph,Thalurania colombica,El Dorado ProAves Reserve,12-Dec-18
137,White-tipped Dove,Leptotila verreauxi,El Dorado ProAves Reserve,12-Dec-18
136,Sickle-winged Guan,Chamaepetes goudotii,El Dorado ProAves Reserve,12-Dec-18
135,Band-tailed Guan,Penelope argyrotis,El Dorado ProAves Reserve,12-Dec-18
134,Black-cheeked Mountain Tanager,Anisognathus melanogenys,Cuchilla de San Lorenzo--Torres,12-Dec-18
133,Golden Grosbeak,Pheucticus chrysogaster,Cuchilla de San Lorenzo--Torres,12-Dec-18
132,Yellow-crowned Redstart,Myioborus flavivertex,Cuchilla de San Lorenzo--Torres,12-Dec-18
131,Slate-throated Redstart,Myioborus miniatus,Cuchilla de San Lorenzo--Torres,12-Dec-18
130,Blackburnian Warbler,Setophaga fusca,Cuchilla de San Lorenzo--Torres,12-Dec-18
129,Santa Marta Brushfinch,Atlapetes melanocephalus,Cuchilla de San Lorenzo--Torres,12-Dec-18
128,Blue-naped Chlorophonia,Chlorophonia cyanea,Cuchilla de San Lorenzo--Torres,12-Dec-18
127,Great Thrush,Turdus fuscater,Cuchilla de San Lorenzo--Torres,12-Dec-18
126,Hermit Wood-Wren,Henicorhina anachoreta,Cuchilla de San Lorenzo--Torres,12-Dec-18
125,Yellow-bellied Chat-Tyrant,Silvicultrix diadema,Cuchilla de San Lorenzo--Torres,12-Dec-18
124,Santa Marta Bush-Tyrant,Myiotheretes pernix,Cuchilla de San Lorenzo--Torres,12-Dec-18
123,Eastern Wood-Pewee,Contopus virens,Cuchilla de San Lorenzo--Torres,12-Dec-18
122,Northern Tropical Pewee,Contopus bogotensis,Cuchilla de San Lorenzo--Torres,12-Dec-18
121,White-throated Tyrannulet,Mecocerculus leucophrys,Cuchilla de San Lorenzo--Torres,12-Dec-18
120,Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,Cuchilla de San Lorenzo--Torres,12-Dec-18
119,Olive-striped Flycatcher,Mionectes galbinus,Cuchilla de San Lorenzo--Torres,12-Dec-18
118,Rusty-headed Spinetail,Synallaxis fuscorufa,Cuchilla de San Lorenzo--Torres,12-Dec-18
117,Streak-capped Spinetail,Cranioleuca hellmayri,Cuchilla de San Lorenzo--Torres,12-Dec-18
116,Montane Woodcreeper,Lepidocolaptes lacrymiger,Cuchilla de San Lorenzo--Torres,12-Dec-18
115,Brown-rumped Tapaculo,Scytalopus latebricola,Cuchilla de San Lorenzo--Torres,12-Dec-18
114,Santa Marta Antpitta,Grallaria bangsi,Cuchilla de San Lorenzo--Torres,12-Dec-18
113,Scarlet-fronted Parakeet,Psittacara wagleri,Cuchilla de San Lorenzo--Torres,12-Dec-18
112,Scaly-naped Parrot,Amazona mercenarius,Cuchilla de San Lorenzo--Torres,12-Dec-18
111,Santa Marta Screech-Owl,Megascops gilesi,Cuchilla de San Lorenzo--Torres,12-Dec-18
110,Broad-winged Hawk,Buteo platypterus,Cuchilla de San Lorenzo--Torres,12-Dec-18
109,White Hawk,Pseudastur albicollis,Cuchilla de San Lorenzo--Torres,12-Dec-18
108,White-tailed Starfrontlet,Coeligena phalerata,Cuchilla de San Lorenzo--Torres,12-Dec-18
107,Lesser Violetear,Colibri cyanotus,Cuchilla de San Lorenzo--Torres,12-Dec-18
106,Sparkling Violetear,Colibri coruscans,Cuchilla de San Lorenzo--Torres,12-Dec-18
105,Nacunda Nighthawk,Chordeiles nacunda,Cuchilla de San Lorenzo--Torres,12-Dec-18
104,Lined Quail-Dove,Zentrygon linearis,Cuchilla de San Lorenzo--Torres,12-Dec-18
103,Brown-throated Parakeet,Eupsittula pertinax,Manglar Boca Manzanillo,10-Dec-18
102,Orange-chinned Parakeet,Brotogeris jugularis,Manglar Boca Manzanillo,10-Dec-18
101,Yellow-headed Caracara,Daptrius chimachima,Manglar Boca Manzanillo,10-Dec-18
100,Green Kingfisher,Chloroceryle americana,Manglar Boca Manzanillo,10-Dec-18
99,Black Vulture,Coragyps atratus,Manglar Boca Manzanillo,10-Dec-18
98,White Ibis,Eudocimus albus,Manglar Boca Manzanillo,10-Dec-18
97,Green Heron,Butorides virescens,Manglar Boca Manzanillo,10-Dec-18
96,Tricolored Heron,Egretta tricolor,Manglar Boca Manzanillo,10-Dec-18
95,Great Egret,Ardea alba,Manglar Boca Manzanillo,10-Dec-18
94,Wood Stork,Mycteria americana,Manglar Boca Manzanillo,10-Dec-18
93,Sandwich Tern,Thalasseus sandvicensis,Manglar Boca Manzanillo,10-Dec-18
92,Large-billed Tern,Phaetusa simplex,Manglar Boca Manzanillo,10-Dec-18
91,Franklin's Gull,Leucophaeus pipixcan,Manglar Boca Manzanillo,10-Dec-18
90,Lesser Yellowlegs,Tringa flavipes,Manglar Boca Manzanillo,10-Dec-18
89,Willet,Tringa semipalmata,Manglar Boca Manzanillo,10-Dec-18
88,Short-billed Dowitcher,Limnodromus griseus,Manglar Boca Manzanillo,10-Dec-18
87,Black-bellied Plover,Pluvialis squatarola,Manglar Boca Manzanillo,10-Dec-18
86,Black-necked Stilt,Himantopus mexicanus,Manglar Boca Manzanillo,10-Dec-18
85,Limpkin,Aramus guarauna,Manglar Boca Manzanillo,10-Dec-18
84,Yellow-faced Grassquit,Tiaris olivaceus,Valle del Cocora,16-May-18
83,Yellow-bellied Seedeater,Sporophila nigricollis,Valle del Cocora,16-May-18
82,Saffron Finch,Sicalis flaveola,Valle del Cocora,16-May-18
81,Masked Flowerpiercer,Diglossa cyanea,Valle del Cocora,16-May-18
80,White-sided Flowerpiercer,Diglossa albilatera,Valle del Cocora,16-May-18
79,Grass-green Tanager,Chlorornis riefferii,Valle del Cocora,16-May-18
78,White-capped Tanager,Sericossypha albocristata,Valle del Cocora,16-May-18
77,Red-hooded Tanager,Piranga rubriceps,Valle del Cocora,16-May-18
76,Rufous-collared Sparrow,Zonotrichia capensis,Valle del Cocora,16-May-18
75,White-capped Dipper,Cinclus leucocephalus,Valle del Cocora,16-May-18
74,Golden-bellied Flycatcher,Myiodynastes hemichrysus,Valle del Cocora,16-May-18
73,Cattle Tyrant,Machetornis rixosa,Valle del Cocora,16-May-18
72,Chestnut-bellied Chat-Tyrant,Ochthoeca cinnamomeiventris,Valle del Cocora,16-May-18
71,Vermilion Flycatcher,Pyrocephalus rubinus,Valle del Cocora,16-May-18
70,Dusky Piha,Lipaugus fuscocinereus,Valle del Cocora,16-May-18
69,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,Valle del Cocora,16-May-18
68,Crested Caracara,Caracara plancus,Valle del Cocora,16-May-18
67,Crimson-mantled Woodpecker,Colaptes rivolii,Valle del Cocora,16-May-18
66,Acorn Woodpecker,Melanerpes formicivorus,Valle del Cocora,16-May-18
65,Southern Emerald-Toucanet,Aulacorhynchus albivitta,Valle del Cocora,16-May-18
64,Andean Motmot,Momotus aequatorialis,Valle del Cocora,16-May-18
63,Cattle Egret,Bubulcus ibis,Valle del Cocora,16-May-18
62,Buff-tailed Coronet,Boissonneaua flavescens,Valle del Cocora,16-May-18
61,Collared Inca,Coeligena torquata,Valle del Cocora,16-May-18
60,Tyrian Metaltail,Metallura tyrianthina,Valle del Cocora,16-May-18
59,Long-tailed Sylph,Aglaiocercus kingii,Valle del Cocora,16-May-18
58,Speckled Hummingbird,Adelomyia melanogenys,Valle del Cocora,16-May-18
57,Band-tailed Pigeon,Patagioenas fasciata,Valle del Cocora,16-May-18
56,Red-legged Honeycreeper,Cyanerpes cyaneus,Bahia Solano,17-Dec-16
55,Palm Tanager,Thraupis palmarum,Bahia Solano,17-Dec-16
54,Blue-gray Tanager,Thraupis episcopus,Bahia Solano,17-Dec-16
53,Flame-rumped Tanager,Ramphocelus flammigerus,Bahia Solano,17-Dec-16
52,Prothonotary Warbler,Protonotaria citrea,Bahia Solano,17-Dec-16
51,Chestnut-headed Oropendola,Psarocolius wagleri,Bahia Solano,17-Dec-16
50,Thick-billed Euphonia,Euphonia laniirostris,Bahia Solano,17-Dec-16
49,Black-chested Jay,Cyanocorax affinis,Bahia Solano,17-Dec-16
48,Tropical Kingbird,Tyrannus melancholicus,Bahia Solano,17-Dec-16
47,Dusky Antbird,Cercomacroides tyrannina,Bahia Solano,17-Dec-16
46,Blue-and-yellow Macaw,Ara ararauna,Bahia Solano,17-Dec-16
45,Choco Toucan,Ramphastos brevis,Bahia Solano,17-Dec-16
44,American Pygmy Kingfisher,Chloroceryle aenea,Bahia Solano,17-Dec-16
43,Ringed Kingfisher,Megaceryle torquata,Bahia Solano,17-Dec-16
42,White-tailed Trogon,Trogon chionurus,Bahia Solano,17-Dec-16
41,Roadside Hawk,Rupornis magnirostris,Bahia Solano,17-Dec-16
40,Common Black Hawk,Buteogallus anthracinus,Bahia Solano,17-Dec-16
39,Little Blue Heron,Egretta caerulea,Bahia Solano,17-Dec-16
38,Neotropic Cormorant,Nannopterum brasilianum,Bahia Solano,17-Dec-16
37,Elegant Tern,Thalasseus elegans,Bahia Solano,17-Dec-16
36,Sanderling,Calidris alba,Bahia Solano,17-Dec-16
35,Collared Plover,Charadrius collaris,Bahia Solano,17-Dec-16
34,Southern Lapwing,Vanellus chilensis,Bahia Solano,17-Dec-16
33,Smooth-billed Ani,Crotophaga ani,Bahia Solano,17-Dec-16
32,Rock Pigeon,Columba livia,Bahia Solano,17-Dec-16
31,Española Mockingbird,Mimus macdonaldi,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
30,Galapagos Flycatcher,Myiarchus magnirostris,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
29,Short-eared Owl,Asio flammeus,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
28,Brown Booby,Sula leucogaster,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
27,Blue-footed Booby,Sula nebouxii,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
26,Nazca Booby,Sula granti,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
25,Magnificent Frigatebird,Fregata magnificens,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
24,Galapagos Shearwater,Puffinus subalaris,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
23,Waved Albatross,Phoebastria irrorata,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
22,Red-billed Tropicbird,Phaethon aethereus,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
21,Brown Noddy,Anous stolidus,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
20,Swallow-tailed Gull,Creagrus furcatus,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
19,Ruddy Turnstone,Arenaria interpres,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
18,Whimbrel,Numenius phaeopus,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
17,American Oystercatcher,Haematopus palliatus,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
16,Galapagos Dove,Zenaida galapagoensis,Isla Española--Área general (solo para listas históricas; por favor usa una localidad más específica),7-Nov-15
15,Variable Seedeater,Sporophila corvina,Guayaquil--Malecon 2000,1-Nov-15
14,Yellow Warbler,Setophaga petechia,Guayaquil--Malecon 2000,1-Nov-15
13,Yellow-crowned Night-Heron,Nyctanassa violacea,Guayaquil--Malecon 2000,1-Nov-15
12,Snowy Egret,Egretta thula,Guayaquil--Malecon 2000,1-Nov-15
11,Spotted Sandpiper,Actitis macularius,Guayaquil--Malecon 2000,1-Nov-15
10,Common Cactus-Finch,Geospiza scandens,Isla Santa Cruz,1-Nov-15
9,Small Ground-Finch,Geospiza fuliginosa,Isla Santa Cruz,1-Nov-15
8,Galapagos Mockingbird,Mimus parvulus,Isla Santa Cruz,1-Nov-15
7,Brown Pelican,Pelecanus occidentalis,Isla Santa Cruz,1-Nov-15
6,American Robin,Turdus migratorius,Kingfisher Bay Retreat,21-May-15
5,Osprey,Pandion haliaetus,Kingfisher Bay Retreat,21-May-15
4,Turkey Vulture,Cathartes aura,Kingfisher Bay Retreat,21-May-15
3,Bufflehead,Bucephala albeola,Kingfisher Bay Retreat,21-May-15
2,Ring-necked Duck,Aythya collaris,Kingfisher Bay Retreat,21-May-15
1,Canada Goose,Branta canadensis,Kingfisher Bay Retreat,21-May-15
